,Cr3O,Mn3O,Fe3O,Co3O,T1,rT1,T2,rT2,V_TOT
0,0.0,1.0,1.0,0.0,Yb,0.0,MeOH,0.3734972832384675,5.517233173440861
1,0.0,0.0,0.0,0.0,Yb,0.0,TMTACN,0.5,3.75
2,0.0,1.0,1.0,1.0,Yb,0.5,TMTACN,0.0,3.75
3,0.0,1.0,0.0,0.0,Ce,0.0,TMTACN,0.0,5.438361236972977
4,0.0,1.0,0.9698567355145015,0.0,Dy,0.21800180492344187,TMTACN,0.5,6.092754207859429
5,0.16208027523240082,0.5863430710239789,0.27308984254325497,0.0,Ce,0.03791505025808106,TMTACN,0.44031639410369394,3.9415503064331014
6,0.14664948896911223,0.89164924811174,0.00687585674918613,0.03978012725492985,MeOH,0.49088399197444643,SA,0.09705240182973929,3.9436083785044596
7,0.0,0.17217158692193113,0.26943001453983706,0.0943892317829441,Dy,0.060929332476383775,SA,0.4927915216225747,5.827389463450986
8,1.0,0.18474370674273574,0.005534471447311517,1.0,Ce,0.16650825812781941,TMTACN,0.5,5.921132774763786
9,0.5949919881203153,1.0,0.04258547966165018,0.0,Ce,0.4640600245836935,TMTACN,0.4608124477681203,5.738280016216319
10,0.0,0.41334041027516466,0.18897218614998104,0.16191304611080784,Yb,0.24822872536771606,TMTACN,0.4635971600469709,6.778605612616759
11,0.0,0.13727675793695163,0.999130341383754,0.952736799226295,Ce,0.015864936653863067,OA,0.28073214759686477,6.743448342723118
12,0.02883710386796679,0.21285961354940272,0.4361690849982614,0.0,Ce,0.2516460023253816,TMTACN,0.4608291383627048,6.265162719816313
13,0.21378615439235904,0.21257453490414496,0.28958044520555193,0.021192897031370526,MeOH,0.47670446087363766,OA,0.5,4.312067897811011
14,0.5662431495180645,0.4907087079441443,0.6410722798552728,0.02298956758184649,MeOH,0.07926509283295652,TMTACN,0.11463199125602805,5.987584867091521
15,0.4395103028957579,0.15802017663025972,0.7026749152174527,0.0350041629857918,Ce,0.49372980295929525,TMTACN,0.3521615143756115,6.781944044199534
16,0.7767115409423523,0.30144152086757825,0.5360332030683589,0.030754164781009553,Ce,0.39769683507494785,TMTACN,0.5,5.217699816637513
17,0.09280897479837535,0.03179143049988394,0.6715796534727945,0.04508882549050989,Dy,0.13784696948194733,OA,0.46530142809945596,6.863966086788361
18,0.12673708395157401,0.7986999079468198,0.21049786025947137,0.20827435675214206,MeOH,0.3355405600462563,OA,0.40266974111873105,4.121262770468428
19,0.0,0.5163777716145995,0.11795567476211768,0.021943540660494303,MeOH,0.42085504412389435,TMTACN,0.20252020556420583,3.876219675721977
20,0.0588461869545697,0.6293909638297757,0.1874725362181876,0.0993739832325283,Ce,0.22835467537132756,TMTACN,0.22865307276191227,3.8707115759546915
21,0.13741755672542413,0.5672578900763074,0.9925975100966468,0.024240721828616224,MeOH,0.30917792790186427,TMTACN,0.4346877826920715,4.768450244295712
22,0.09209896032209579,0.5383564883721415,0.19056119130735172,0.03984892407099262,Ce,0.2521087475244059,TMTACN,0.47056888667546065,4.249535049897579
23,0.04830641403652643,0.9169183786946018,0.13873435502288023,0.031219980751945733,Dy,0.35497946321258317,TMTACN,0.46714620173365184,4.187936418382896
24,0.3277775783977598,0.16813728894645397,0.46305315647184125,0.0,Ce,0.08974758627079045,TMTACN,0.5,4.818438934228265
25,0.17190948647322496,0.9083427982599803,0.4189520596750062,0.041462549890058875,Dy,0.30755451089319125,TMTACN,0.3793348499213943,5.708080798836217
26,0.11468732715600045,0.768951282280311,0.14856041711832857,0.3223827510216276,Ce,0.08790182842735011,SA,0.2508863216194883,5.286514635583428
27,0.019430814116336955,0.019726994156436483,0.003193371055096488,0.0013282434145627119,Ce,0.0636889515878564,TMTACN,0.3988786340062107,7.364856309851052
28,0.04606112409937174,0.0,0.4837397416087383,1.0,Yb,0.409030161088466,OA,0.4002211784656072,4.1922595207619
29,0.05660767751055781,0.0,0.948238570836801,0.4947456587764199,MeOH,0.0,MeOH,0.19606302129219566,4.641827748038507
30,0.06416275358808679,0.0,0.21019642983352083,0.4658634907560009,Dy,0.0028752573811814774,MeOH,0.3736422092443549,7.226656079674541
31,0.06841496599461133,0.15144929560122516,0.8285618367568618,0.46647153194679747,Ce,0.0336788143276239,SA,0.4747260353201322,4.3683521592865615
32,0.04456383420406961,0.1584616270375549,0.23322057367350438,0.03335569766387216,MeOH,0.3429774585854592,TMTACN,0.46884066868407115,3.9334751929971032
33,0.13250211227669184,0.7859903236661776,0.6356246842115617,0.03080729840788512,MeOH,0.009429306500198995,TMTACN,0.20466647186606937,3.8059710193941605
34,0.6619409188747872,0.6769235750745964,0.2274966066877792,0.06378686778452028,Ce,0.15440345105424388,SA,0.38924651067052146,4.942837178422218
35,0.0,0.11107077099700641,0.22654599426377506,0.9924066643289281,Ce,0.215663844739363,OA,0.4499634329747123,5.900947045601187
36,0.060160305405699825,0.05971075502436561,0.23948815981602356,0.3314654271364788,Ce,0.04568036260839916,SA,0.017903431488232004,6.803428689553693
37,0.0,0.5964418650960635,0.13989289860220241,0.33700990337345105,Yb,0.07643028933574164,TMTACN,0.4984051465468426,6.038145471814972
38,0.42197389230946947,0.24037027710013317,0.8505232051697341,0.02608868065190729,MeOH,0.08319807954249754,TMTACN,0.4422192382305752,6.356665729297782
39,0.056217889268033804,0.0,0.5029068979739799,0.0,Ce,0.18698032158093883,SA,0.28648809154768184,6.490179073847996
40,0.061317701555012115,0.4902115285336617,0.17459889718746655,0.46704047317311637,MeOH,0.04526750568012344,TMTACN,0.30053861280878036,4.283736173572608
41,0.0,0.16108756510019417,0.1102771455109217,0.15670840237553468,MeOH,0.014147677112850627,TMTACN,0.0918061783331846,6.4038294811712095
42,0.06264960106192034,0.08891211791676758,0.21684091168672096,0.27067896884359494,Dy,0.05288032256860527,TMTACN,0.20600649354391457,4.637609927564751
43,0.05438122726220813,0.0,0.1875178013936845,0.6334126214899811,Ce,0.1207545934112975,TMTACN,0.15373241977816013,5.495443456662179
44,0.7285778250256273,0.14992002345705221,0.9725089956043046,0.006039233343897129,MeOH,0.07560940770905474,SA,0.26819537826356965,6.006717071595643
45,0.05392357179725246,0.7549103717417285,0.1899551304982959,0.6259023067185752,Dy,0.08805522127912094,MeOH,0.2715728617261434,5.0010294436643665
46,0.0,0.5493237070268125,0.2964129235098987,0.03918409063064769,Ce,0.06923622932641617,TMTACN,0.5,4.953435814623477
47,0.06385803923117322,0.8409610383813845,0.3987782850057407,0.15603732128219786,Ce,0.07530055911643199,OA,0.4705933850074399,5.001238807009413
